* Sample from top 60,000 lemmas, with frequency in eight main genres (sample = even tenth word)
* This sample data is taken from the one billion word Corpus of Contemporary American English (COCA)
(www.english-corpora.org/coca), which is the only corpus of English that is large, up-to-date, and is based on a wide range of genres.
* For complete word frequency data from COCA, please see https://www.wordfrequency.info
* For instructions on using this file in Excel, see https://www.wordfrequency.info/freqTxtToExcel.pdf
* For an explanation of the columns below, see https://www.wordfrequency.info/files.asp
----- Before converting file to Excel, remove the first eight lines, with the first line being the one starting with "rank"

rank	lemma	PoS	freq	perMil	%caps	%allC	range	disp	blog	web	TVM	spok	fic	mag	news	acad	blogPM	webPM	TVMPM	spokPM	ficPM	magPM	newsPM	acadPM
5	of	i	23159162	23321.89	0.01	0.00	477933	0.97	2897295	3419616	1398417	2542569	2280164	3252696	2867922	4500485	23317.58	26588.36	10918.77	20157.43	19270.82	25796.39	23557.38	37569.65
15	do	v	8186412	8244.70	0.10	0.01	415641	0.98	1052753	885912	2349422	1472318	953133	594683	557889	321166	8472.61	6888.18	18344.18	11672.50	8055.41	4716.30	4582.55	2681.07
25	they	p	4503650	4535.29	0.23	0.00	382938	0.98	626530	564689	528941	935257	545027	464425	493994	345418	5042.35	4390.60	4129.95	7414.70	4606.30	3683.25	4057.71	2883.52
35	she	p	3188078	3210.48	0.32	0.00	206627	0.93	181410	217759	483074	354703	1283180	285458	295580	87513	1460.00	1693.13	3771.82	2812.08	10844.81	2263.90	2427.92	730.55
45	about	i	2427703	2444.76	0.02	0.01	350741	0.98	360952	299486	409194	484896	248131	235278	231251	158515	2904.96	2328.58	3194.97	3844.24	2097.08	1865.94	1899.52	1323.27
55	there	e	1980173	1994.09	0.36	0.00	333241	0.98	277871	253845	277096	424023	215316	190643	191696	149683	2236.32	1973.71	2163.55	3361.64	1819.74	1511.95	1574.61	1249.54
65	him	p	1717209	1729.27	0.02	0.01	212743	0.96	130755	179631	387805	205962	484746	136754	147857	43738	1052.32	1396.68	3027.96	1632.86	4096.83	1084.56	1214.51	365.12
75	could	v	1529795	1540.54	0.03	0.00	295499	0.98	172936	166121	247799	180303	333318	164533	152742	112043	1391.80	1291.63	1934.80	1429.44	2817.04	1304.87	1254.64	935.32
85	no	a	1206112	1214.59	0.13	0.01	279919	0.99	179333	176499	218765	135402	154984	120182	113671	107276	1443.28	1372.32	1708.11	1073.46	1309.85	953.14	933.70	895.53
95	man	n	1091176	1099.05	0.12	0.02	190702	0.98	101002	122971	257542	127193	219772	104329	92261	66314	812.87	956.13	2010.88	1008.38	1857.40	827.41	757.84	553.58
105	very	r	963552	970.32	0.06	0.01	236629	0.95	137396	122023	130683	293099	72402	79741	72185	56023	1105.77	948.76	1020.37	2323.68	611.91	632.41	592.93	467.67

... (truncated - original file has 6109 lines) ...
