* Top 60,000 lemmas, with frequency in nearly 100 sub-genres
* This sample data is taken from the one billion word Corpus of Contemporary American English (COCA)
(www.english-corpora.org/coca), which is the only corpus of English that is large, up-to-date, and is based on a wide range of genres.
* For complete word frequency data from COCA, please see https://www.wordfrequency.info
* For instructions on using this file in Excel, see https://www.wordfrequency.info/freqTxtToExcel.pdf
* For an explanation of the columns below, see https://www.wordfrequency.info/files.asp
----- Before converting file to Excel, remove the first eight lines, with the first line being the one starting with "rank"

rank	lemma	PoS	x101	x102	x103	x104	x105	x106	x107	x108	x109	x114	x115	x116	x117	x118	x119	x123	x124	x125	x126	x127	x128	x129	x130	x131	x132	x133	x135	x136	x137	x138	x139	x140	x141	x142	x144	x145	x146	x147	x148	x149	x150	x151	x152	x153	x160	x161	x162	x163	x164	x165	x166	x167	x168	x169	x171	x172	x173	x174	x175	x176	x177	x178	x179	x180	x181	x183	x184	x185	x186	x187	x188	x189	x190	x191	x192	x193	x194	x195	x196	x197	x198	x199	x200	x201	x203	x204	x205	x206	x207	x208	x209	x210	x211	x212	x213	x214	p101	p102	p103	p104	p105	p106	p107	p108	p109	p114	p115	p116	p117	p118	p119	p123	p124	p125	p126	p127	p128	p129	p130	p131	p132	p133	p135	p136	p137	p138	p139	p140	p141	p142	p144	p145	p146	p147	p148	p149	p150	p151	p152	p153	p160	p161	p162	p163	p164	p165	p166	p167	p168	p169	p171	p172	p173	p174	p175	p176	p177	p178	p179	p180	p181	p183	p184	p185	p186	p187	p188	p189	p190	p191	p192	p193	p194	p195	p196	p197	p198	p199	p200	p201	p203	p204	p205	p206	p207	p208	p209	p210	p211	p212	p213	p214
5	of	i	387002	170519	339414	524163	226992	16922	275577	531266	70714	655118	887907	530337	50411	132458	25417	789823	172450	522765	306333	192644	302486	177821	484030	93532	47268	171207	782218	189260	320282	381958	217566	496174	343142	137281	520704	547142	772983	449083	644906	336236	620016	386532	170285	43479	115474	1454849	294488	112470	163473	161087	360298	98679	275628	383170	17657	1623690	48109	18405	50037	13633	141783	51352	68379	128553	735697	99279	2719	25841	24965	28457	171598	38123	122077	117055	3128	4467	31741	2592	3713	2946	1955	3089	4849	9503	147559	32370	52890	180887	104620	33130	128921	9014	1378	4805	995	3544	19272.16	16187.39	19254.95	19896.81	18673.04	20512.71	24351.09	23366.83	15660.69	19598.17	19821.85	20278.13	15583.53	14437.29	16520.88	28537.43	24012.01	28076.07	32855.67	34687.74	21420.46	23040.28	23385.30	21932.56	19527.91	20110.95	24643.20	29931.54	27791.85	27629.44	24934.14	24495.74	17914.88	28615.11	38871.77	34684.41	38594.21	36553.33	39801.60	42879.30	35522.62	35758.45	35345.81	36840.55	40392.19	26466.03	26911.87	37364.12	21662.60	43737.05	26952.11	17683.33	26325.62	23676.60	35004.35	23621.95	21864.10	33604.47	20322.32	32228.63	25538.47	17509.59	25303.03	24451.36	22337.79	10778.20	11342.87	10680.28	11088.61	12207.85	9325.09	9906.23	17710.20	10092.65	9016.31	11097.06	9761.07	12130.57	10283.18	12155.82	9946.02	12292.62	12434.86	12706.43	11845.85	11553.42	11278.08	9484.09	11115.23	24015.74	9946.89	13340.56	11570.69	13396.01	11031.78	13990.04
15	do	v	235141	137551	207881	308498	162159	9443	108945	226142	76558	269462	346081	217470	29180	77409	14320	126636	33311	73770	28549	30303	68462	47015	86947	25603	15710	59741	145528	21454	51300	66946	35968	99241	110277	27171	34200	46176	52346	40069	44229	26296	32351	20740	20223	2381	5959	451116	74475	7047	50775	9474	48031	57918	62187	118930	1976	643875	18343	1984	18469	2064	21731	29973	14623	36078	263637	169146	4229	43335	35949	40142	357134	79701	93897	233792	6450	7336	66424	3447	7665	4136	3756	4629	6897	18670	214510	49630	73481	363012	172719	11318	253894	9889	2110	5548	1778	4153	11709.69	13057.73	11793.09	11710.34	13339.68	11446.73	9626.82	9946.47	16954.93	8061.08	7725.99	8315.25	9020.40	8437.21	9307.91	4575.54	4638.24	3961.96	3062.02	5456.40	4848.12	6091.74	4200.73	6003.71	6490.30	7017.52	4584.75	3392.96	4451.46	4842.63	4122.11	4899.45	5757.38	5663.57	2553.11	2927.19	2613.58	3261.44	2729.68	3353.46	1853.49	1918.68	4197.66	2017.46	2084.43	8206.52	6805.92	2341.11	6728.44	2572.30	3592.96	10378.94	5939.57	7348.85	3917.35	9367.30	8336.34	3622.45	7501.11	4879.33	3914.27	10219.95	5411.11	6862.20	8004.75	18363.29	17642.15	17910.68	15967.33	17220.63	19407.60	20710.24	13622.01	20157.89	18591.81	18224.32	20426.88	16131.98	21228.28	17066.02	19108.57	18421.02	17686.79	24963.60	17220.59	17713.81	15668.83	19033.09	18350.33	8204.35	19589.17	14635.54	17717.10	15467.44	19713.06	16394.09
25	they	p	144744	74478	120312	200099	108081	5754	82270	165087	34432	138447	214592	135097	14823	36064	6435	116024	27040	63970	32416	24474	47483	28906	63008	15478	11846	34761	137147	29605	49536	62561	37450	77969	78666	21060	44040	56640	65630	33612	44791	23566	36797	18055	18794	2081	4869	297017	56154	6693	23744	6732	43171	21835	37519	66955	1156	391182	9637	1580	8784	1178	19859	10571	10511	21484	150588	42298	956	10227	8577	10807	64122	16694	47809	46767	1397	1542	13244	897	1363	1432	643	1323	1526	3848	58562	11971	17271	61238	40302	9532	48669	2166	630	1415	489	1294	7208.05	7070.21	6825.30	7595.60	8891.07	6974.95	7269.71	7261.07	7625.49	4141.71	4790.60	5165.61	4582.23	3930.80	4182.71	4192.11	3765.06	3435.63	3476.77	4406.82	3362.50	3745.35	3044.15	3629.48	4893.96	4083.23	4320.72	4682.04	4298.39	4525.43	4291.96	3849.27	4107.02	4389.79	3287.69	3590.52	3276.84	2735.87	2764.36	3005.31	2108.21	1670.29	3901.04	1763.27	1703.15	5403.22	5131.65	2223.51	3146.43	1827.82	3229.41	3912.84	3583.49	4137.24	2291.73	5691.04	4379.73	2884.82	3567.58	2784.81	3577.07	3604.41	3889.50	4086.35	4572.27	4592.07	3988.15	4226.90	3809.61	4636.13	3484.56	4337.92	6935.84	4032.32	4026.78	3830.68	4072.83	4197.96	3774.84	5908.74	3271.25	5264.85	3913.30	5145.15	4701.28	4272.66	3682.81	3210.77	4281.84	6909.69	3755.05	3205.64	5289.94	3944.92	5421.65	5108.10
35	she	p	66192	51531	55326	61592	29432	1673	13881	47650	27426	427685	529951	222739	35969	47858	20563	59666	8381	16872	17296	10368	10718	35101	40931	28291	8991	49365	86162	10485	33263	53638	11272	72986	20535	7235	7340	13077	13665	5105	23263	5473	4017	4137	9152	178	363	58466	56671	1411	3500	1449	19851	15343	29492	31213	108	83974	10338	397	1074	342	8902	7022	1879	11239	56135	22403	734	6097	4863	6825	68798	14066	19276	50458	1384	1456	13758	603	1678	744	794	608	1144	3669	41826	9229	8882	79127	55809	2229	61250	2077	638	1027	447	727	3296.27	4891.84	3138.64	2337.98	2421.16	2028.00	1226.58	2095.80	6073.90	12794.40	11830.75	8516.72	11119.08	5216.29	13365.82	2155.82	1166.97	906.14	1855.08	1866.88	758.99	4548.04	1977.53	6634.03	3714.47	5798.70	2714.47	1658.21	2886.33	3879.98	1291.83	3603.26	1072.10	1508.08	547.95	828.98	682.28	415.52	1435.72	697.96	230.15	382.72	1899.67	150.82	126.98	1063.59	5178.89	468.75	463.80	393.42	1484.95	2749.47	2816.82	1928.69	214.11	1221.68	4698.31	724.86	436.20	808.49	1603.46	2394.30	695.31	2137.71	1704.41	2432.18	3062.03	2519.94	2159.98	2927.88	3738.66	3655.04	2796.45	4350.56	3989.31	3617.04	4230.90	2822.04	4647.23	3069.90	4039.46	2419.52	2933.69	4905.81	3357.74	3293.99	1893.97	4148.71	5929.36	1615.79	4725.74	3073.92	5357.11	2863.20	4955.98	2869.85
45	about	i	69687	40065	62901	102737	55767	3291	41391	91767	17290	72881	100337	51281	7336	13246	3217	58148	11713	29194	12610	14265	20797	20277	31130	10147	5048	22470	62005	9800	25188	29099	14988	45316	33801	11051	17093	27437	29107	14779	23010	11200	14931	8764	10509	996	2440	149447	19460	2810	15511	2289	21898	15870	27872	41889	647	212711	5860	758	5621	635	9271	9316	6542	15459	94132	25324	579	6167	5218	6860	59603	13394	18710	38246	949	1130	9431	486	1236	668	689	774	1105	3244	37535	8827	11649	67887	34539	2833	48415	1603	375	913	303	717	3470.32	3803.38	3568.37	3899.81	4587.56	3989.32	3657.47	4036.22	3829.13	2180.27	2239.95	1960.80	2267.77	1443.75	2091.03	2100.97	1630.92	1567.92	1352.48	2568.58	1472.73	2627.29	1504.01	2379.40	2085.49	2639.45	1953.42	1549.87	2185.64	2104.91	1717.70	2237.22	1764.69	2303.49	1276.03	1739.29	1453.28	1202.94	1420.11	1428.31	855.44	810.77	2181.34	843.93	853.50	2718.68	1778.36	933.52	2055.44	621.49	1638.08	2843.91	2662.09	2588.38	1282.65	3094.59	2663.19	1383.98	2282.95	1501.15	1669.93	3176.49	2420.81	2940.37	2858.11	2749.29	2415.42	2548.87	2317.66	2942.89	3238.98	3480.42	2714.33	3297.63	2735.45	2807.18	2900.25	2274.48	3423.11	2756.31	3505.27	3080.12	2833.68	4337.54	3013.26	3150.51	2483.99	3559.38	3669.56	2053.62	3735.45	2372.41	3148.77	2545.38	3359.43	2830.38
55	there	e	65049	30517	53780	92150	41438	1813	42343	84080	12853	58792	81691	54009	5284	13270	2386	46521	10221	25263	12260	10272	23362	13678	24577	6519	3687	14698	52326	11099	18414	22544	13028	35191	30505	8587	15405	19461	25051	18856	17088	13002	18338	12656	7746	1550	3904	126202	21501	4196	13465	3879	18257	11009	20727	30705	960	165777	4358	711	5237	708	8193	5105	5381	11683	69758	19531	546	5412	5157	4728	33466	7528	20351	23647	726	984	8173	539	822	584	415	700	858	2273	30949	7049	9815	36248	20574	4264	28049	1416	392	1035	299	575	3239.35	2896.98	3050.94	3497.94	3408.81	2197.70	3741.60	3698.12	2846.49	1758.79	1823.69	2065.11	1633.44	1446.37	1550.88	1680.87	1423.18	1356.80	1314.94	1849.59	1654.37	1772.26	1187.41	1528.66	1523.22	1726.51	1648.49	1755.31	1597.84	1630.75	1493.07	1737.35	1592.62	1789.89	1150.02	1233.67	1250.77	1534.79	1054.62	1658.11	1050.64	1170.82	1607.83	1313.34	1365.60	2295.82	1964.87	1393.97	1784.31	1053.19	1365.72	1972.82	1979.67	1897.30	1903.16	2411.78	1980.58	1298.17	2126.99	1673.72	1475.75	1740.66	1991.19	2222.16	2118.05	2120.38	2277.75	2236.82	2290.56	2028.28	1818.63	1956.14	2952.40	2038.88	2092.66	2444.48	2513.38	2522.52	2276.54	2409.71	2111.30	2785.64	2200.27	3039.22	2484.55	2515.91	2092.92	1900.52	2185.86	3090.95	2164.12	2095.65	3291.52	2885.51	3315.08	2269.83
65	him	p	36017	20775	32095	42417	22178	1405	12443	27314	11318	139360	182222	100788	11513	42365	8901	36655	4903	7164	8729	5625	21212	14087	10356	5521	5046	17759	33864	6588	15320	18845	4179	20990	43790	4278	6391	2525	5259	3889	12270	4423	1806	595	5820	56	355	57540	56985	905	1888	1750	14921	9536	15512	20239	59	68591	8824	360	514	218	5086	3993	555	6003	36552	33339	666	7343	5847	7314	46268	15440	16612	36286	1000	1257	9137	483	1302	677	523	635	1266	2946	42326	8676	10778	47209	43095	1973	42277	536	313	532	325	746	1793.60	1972.17	1820.75	1610.12	1824.43	1703.13	1099.51	1201.36	2506.54	4169.02	4067.97	3853.76	3559.01	4617.58	5785.59	1324.40	682.70	384.76	936.23	1012.85	1502.12	1825.25	500.34	1294.63	2084.66	2086.07	1066.86	1041.89	1329.36	1363.18	478.93	1036.26	2286.20	891.71	477.10	160.06	262.58	316.55	757.27	564.05	103.47	55.04	1208.05	47.45	124.18	1046.74	5207.59	300.65	250.19	475.15	1116.17	1708.86	1481.57	1250.60	116.97	997.88	4010.24	657.30	208.76	515.36	916.11	1361.50	205.37	1141.80	1109.82	3619.44	2778.36	3034.92	2597.04	3137.65	2514.33	4012.07	2409.97	3128.63	2882.45	3122.68	2809.83	2260.44	3605.90	2793.45	2660.75	2526.97	3246.55	3939.09	3397.88	3096.62	2298.26	2475.22	4578.58	1430.22	3261.88	793.27	2628.18	1483.18	3603.34	2944.86
75	could	v	29926	16686	26308	36586	16115	1048	14470	33102	6062	101291	126000	84419	8726	7726	5390	40708	10635	28467	12706	6234	17945	9964	18698	4452	3804	11285	39891	8147	16549	19429	12625	20822	28240	7039	15381	13098	17125	13732	13383	7785	15990	7869	6314	767	2448	72707	20168	2357	6443	1830	15696	10350	12630	21492	524	96620	3863	471	2662	363	6768	5140	2689	7014	46822	14347	446	4146	4179	4140	33239	6807	13448	21888	696	730	5473	311	668	394	377	482	703	1668	26448	6219	8873	38792	19680	3193	27800	928	240	621	186	497	1490.27	1584.00	1492.45	1388.78	1325.67	1270.38	1278.63	1455.94	1342.52	3030.17	2812.85	3227.87	2697.46	842.10	3503.46	1470.84	1480.82	1528.87	1362.78	1122.50	1270.77	1291.04	903.37	1043.96	1571.55	1325.60	1256.74	1288.45	1436.01	1405.42	1446.89	1027.97	1474.36	1467.22	1148.23	830.31	855.03	1117.72	825.96	992.80	916.12	727.97	1310.59	649.89	856.30	1322.66	1843.06	783.03	853.79	496.87	1174.14	1854.73	1206.31	1328.02	1038.81	1405.66	1755.62	859.97	1081.16	858.14	1219.08	1752.60	995.04	1334.09	1421.64	1557.58	1860.58	1713.57	1856.17	1776.03	1806.30	1768.79	1950.96	1887.22	2006.19	1813.49	1683.07	1455.48	1850.03	1625.73	1917.98	1918.11	1802.79	2230.28	2123.21	2219.67	1892.05	2033.90	2090.88	2314.59	2144.91	1373.42	2015.21	1731.30	2062.22	1961.92
85	no	a	23754	10901	21322	28310	13098	911	12084	19928	5094	45084	56583	40720	3352	7399	1936	32099	6622	16994	8073	5997	13703	7205	16744	3119	1879	8084	30889	7326	12329	14667	7188	17607	16804	6858	11348	11426	17174	12914	14502	8854	12122	12077	5569	863	3224	87309	16844	2837	7936	5827	12657	7825	11592	20448	650	111859	3257	477	2382	618	5395	3641	2614	6242	42198	18016	431	4740	4658	4272	29556	6995	10105	19646	579	737	5506	404	639	445	353	519	705	1700	22600	5190	8967	28637	18200	1744	21242	572	220	506	183	396	1182.92	1034.83	1209.60	1074.63	1077.48	1104.31	1067.79	876.50	1128.14	1348.71	1263.17	1556.98	1036.20	806.46	1258.39	1159.78	922.05	912.69	865.87	1079.83	970.37	933.55	808.97	731.38	776.27	949.59	973.14	1158.61	1069.83	1060.96	823.78	869.24	877.31	1429.49	847.15	724.32	857.48	1051.14	895.02	1129.13	694.51	1117.26	1155.95	731.24	1127.74	1588.29	1539.29	942.49	1051.64	1582.10	946.81	1402.24	1107.17	1263.51	1288.60	1627.36	1480.21	870.92	967.44	1460.96	971.77	1241.48	967.29	1187.26	1281.25	1955.90	1798.01	1959.08	2068.93	1832.66	1606.15	1817.65	1465.97	1693.91	1668.94	1830.88	1693.22	1890.72	1769.72	1836.16	1795.88	2065.35	1807.91	2273.06	1814.30	1852.40	1912.09	1501.47	1933.64	1264.22	1638.92	846.55	1847.28	1410.69	2028.96	1563.22
95	man	n	21702	12547	26099	19952	7483	844	7856	21588	9122	68063	82319	41567	5746	20311	1896	29444	2475	7542	10677	5223	8861	8073	11744	7456	1694	11365	24591	5838	9444	13680	2398	17881	13766	4662	9212	2742	17779	5008	13482	6740	1952	3910	4942	192	1181	54687	26595	1352	1338	1486	9637	4469	10405	11821	64	62260	4221	635	413	200	3904	1445	693	4376	22791	29809	424	5725	3292	6324	41599	11415	11976	27084	580	934	6622	613	643	363	427	374	760	2088	20939	4485	8475	33189	16673	2026	18141	754	220	481	108	651	1080.73	1191.09	1480.60	757.36	615.57	1023.09	694.19	949.51	2020.21	2036.14	1837.71	1589.37	1776.26	2213.80	1232.39	1063.85	344.62	405.06	1145.16	940.46	627.49	1046.02	567.40	1748.38	699.84	1335.00	774.72	923.28	819.48	989.56	274.82	882.77	718.70	971.76	687.70	173.82	887.69	407.63	832.07	859.53	111.84	361.72	1025.80	162.69	413.11	994.84	2430.39	449.15	177.30	403.47	720.90	800.85	993.80	730.44	126.88	905.78	1918.32	1159.40	167.74	472.80	703.20	492.70	256.44	832.34	692.00	3236.21	1768.80	2366.19	1462.19	2712.95	2260.60	2966.18	1737.41	2335.22	1671.82	2320.27	2036.41	2868.84	1780.79	1497.82	2172.35	1488.33	1948.96	2791.86	1680.96	1600.77	1807.18	1740.13	1771.40	1468.64	1399.67	1115.91	1847.28	1340.99	1197.42	2569.84
